,Username,Number of Comments,Comments,Number of Products Commented,Products Commented,Mean Rating
26,0099wong,0,[nan],1,{'721400c6-5f27-40ef-9340-2636c26ed97c': 1},5.0
27,017d9o7qnx7fhyqd5jn6_w2s877x,1,"['Performance: works as intended\nComes in a box, a pick for prying open the old ear pads and an instruction sheet on how to get it done. The ear pads look well made too. Cannot confirm if it’s real sheep skin. Have to wait for the day when it spoils. The stitching looks legit. Very satisfied with the item.']",1,{'51f70b33-555b-4d40-ad73-a4f19446fc73': 1},5.0
28,01gabi01gabi,1,"['Nice shape, perfect audio. Wonderful connection.']",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
29,01richs,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
30,0219tgoreq,0,[nan],1,{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1},5.0
31,0236409u7v,1,"['Like it, a very nice phone, everything arrived just right.']",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},4.0
32,02j2cwb8xf,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
33,02kelly20,1,"['Good product, took a while to arrive but nothing alarming. The only problem is that sometimes it disconnects itself from the cell phone or notebook and the battery seems to last less than when it arrived. Other than that, ok']",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
34,0313k,0,[nan],1,{'fea283b9-0ae0-4fff-9345-f4d9f9c76b07': 1},4.0
35,031482rusty,0,"[nan, nan]",1,{'3922f373-785a-4593-8f46-e8f77ca1c8c4': 2},5.0
36,032807ann,0,[nan],1,{'5428f9a3-7a6f-475e-b030-3284fe14d689': 1},5.0
37,032gm84euh,0,[nan],1,{'a575b385-2293-4fc6-9182-594afe2f1b0b': 1},5.0
38,03h64,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
39,03jhean,0,"[nan, nan]",1,{'55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 2},4.5
40,03yfuc.80,0,[nan],1,{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1},5.0
41,0405min,1,"['Very good The cover of the music is clear. But if you talk about it, it is not recommended. Should be used to listen to music and watch movies. Not much ear pain']",1,{'b17e829b-3318-49c4-8a94-edc482f7733c': 1},5.0
42,0503nyla,1,['Best Feature(s): excellent\nPerformance: excellent\nValue For Money: of coz!\nmy daughter love it so much! fits nicely for 6yrs old. easy to control to change songs.'],1,{'6aa4bce2-a931-4f64-9d1a-83c69fb60d4b': 1},5.0
43,05j8qlhs51,0,[nan],1,{'b6577acf-93f3-4065-aabf-e485277846a0': 1},5.0
44,063f3bew1z,1,['awesome product. Sound quality fantastic.'],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
45,06bhuhiy9c,1,"['I bought it for my nephew he was very anxious for this phone, and it arrived before the expected date, he loved it but it is directly with him, I recommend it. Very much.']",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
46,06kwbm3kif,0,[nan],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
47,06lynn0971,0,[nan],1,{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1},5.0
48,06pgwkg8b1,0,[nan],1,{'44a8d4a3-118b-4da3-ba2a-e6b800620db3': 1},5.0
49,06pn704s3m,0,"[nan, nan]",2,"{'51f70b33-555b-4d40-ad73-a4f19446fc73': 1, '721400c6-5f27-40ef-9340-2636c26ed97c': 1}",5.0
50,0802_,0,[nan],1,{'e00d8069-318f-4a12-a0e0-f61b0a7dfdf7': 1},5.0
51,084sf2lobj,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
52,09240e8ao0,0,[nan],1,{'a0576a99-5e5b-4ac9-8dac-aa72e187133e': 1},5.0
53,09_hani339,1,"['Performance: great\nValue For Money: yep cheap headphones\nBest Feature(s): the bass tbh\nthe noise cancelling is 8/10\nthe sound does leak if you turn on to the max, maybe put like 3/4 of the sound bar yeah']",1,{'3ac85522-669a-42b8-a279-b31ec4a84c29': 1},5.0
54,0_efdh5fw0,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
55,0_hio7udl3,1,"['Good', nan]",1,{'629dd687-f02e-4db8-8b54-3250c1f685f2': 2},3.0
56,0_lc181khf,0,[nan],1,{'ecfe9a8f-ef58-46ad-8007-ef4de302feb8': 1},5.0
57,0b46e3j4h7,0,[nan],1,{'59331d97-d641-4a8b-8d1d-4f7296f1978e': 1},5.0
58,0b9tyhzz8s,0,[nan],1,{'03eb63a0-154f-476d-9ddd-9fd40c7876c7': 1},5.0
59,0blwjcwhzq,1,"['Sp ok, the connection takes a while, the battery runs out quickly']",1,{'ddaa8694-424f-4876-96e7-e2986a6b99ab': 1},5.0
60,0cpvc6_qqu,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
61,0ctzlwessh,0,[nan],1,{'6c475598-c32f-4bac-9831-383e5eb8e323': 1},5.0
62,0dlkbuqpu3,0,"[nan, nan, nan]",1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 3},5.0
63,0dlx6s0e83,0,"[nan, nan]",2,"{'12c56041-6472-4142-b0fc-d4a5c0d82309': 1, 'ff9d5533-0a5c-4d93-91c2-c8ebfa50c30f': 1}",5.0
64,0egktkqrmd,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
65,0f2jex_5tn,0,"[nan, nan]",1,{'ada3b277-7679-4b52-8491-f4101329d86e': 2},5.0
66,0fkrkj8w38,0,[nan],1,{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1},5.0
67,0gemwzswk0,0,[nan],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
68,0gpqxt95x6,0,[nan],1,{'738907d7-39a7-403e-a8a6-1b0933baf48f': 1},4.0
69,0h914,0,[nan],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
70,0hcar0l,1,['Take very long time for delivery. Item  works. Previous headphone only last slightly more than half a year 😔 hopefully this will last.'],1,{'72370986-e271-46ab-9368-4ccb6f31a38d': 1},5.0
71,0iuisnyhy6,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
72,0ivw1ufd20,0,[nan],1,{'3922f373-785a-4593-8f46-e8f77ca1c8c4': 1},5.0
73,0jd1xu86h5,0,[nan],1,{'40e9c35e-edb6-4849-9064-7fb974c79a5d': 1},5.0
74,0ka0sz1kj7,1,"['Ordered on a Friday and received on Thursday. Item delivered in good condition. Easy to use, just plug in to USB port and able to start using.']",1,{'7245f812-e507-4b1c-8e73-78c41afc3744': 1},5.0
75,0kayspice,1,"['Performance: Value for money, easy to use,\nValue For Money: Yes\nBest Feature(s): Great and easy to pair']",1,{'3939d422-832b-4783-863b-b6d823ff28f4': 1},5.0
76,0l8wl4x4we,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
77,0m_dg51q99,1,['Fine'],1,{'0063c41c-e4de-4d05-a40e-7f3c31e67dc5': 1},5.0
78,0msgm03ti2,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},4.0
79,0o658b9a70,0,"[nan, nan]",2,"{'12c56041-6472-4142-b0fc-d4a5c0d82309': 1, 'ff9d5533-0a5c-4d93-91c2-c8ebfa50c30f': 1}",5.0
80,0oddgo3kjs,1,['The sound is excellent very loud I recommend not yet tested the durability of the phone charged but apparently be good'],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
81,0omoomo0,1,['Hmmm.. out side looks good but inside.. sound acceptable.. order 12/12 received 17/12...'],1,{'25446ffc-7c07-41d6-a94e-bf0a071ac9c5': 1},5.0
82,0owpm16lp0,0,[nan],1,{'b6577acf-93f3-4065-aabf-e485277846a0': 1},5.0
83,0p11nh333y,0,[nan],1,{'629dd687-f02e-4db8-8b54-3250c1f685f2': 1},4.0
84,0rl82l33xt,0,[nan],1,{'3922f373-785a-4593-8f46-e8f77ca1c8c4': 1},5.0
85,0s72fy5b3v,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},4.0
86,0s9eqa_r_q,0,[nan],1,{'2dbe6618-26e9-40ad-8924-9bdc80cf2ef5': 1},5.0
87,0smf0fq52s,1,['It arrived all right to deliver it took almost a month but it arrived my daughter loved it. ♥️🥰🥰🥰🥰'],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
88,0sula0pvgpf4wtos5bd8lycnbbng,0,"[nan, nan]",2,"{'12c56041-6472-4142-b0fc-d4a5c0d82309': 1, 'ff9d5533-0a5c-4d93-91c2-c8ebfa50c30f': 1}",5.0
89,0v__ir4py3,0,[nan],1,{'2b589f92-f239-4aa4-b4ab-be9cb4154cfc': 1},5.0
90,0vncklmpm6hyfynzy8ggkfp1zmo4,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
91,0w9snbt2ua,1,"['The delivery was super fast , my son was so happy to receive the headset, his headset was spoiled yesterday night. Thank you so much , u really make my day :) 5 stars ⭐️ ⭐️ ⭐️ ⭐️ ⭐️']",1,{'5a3c6eba-0780-4b30-9256-81f254b07332': 1},5.0
92,0wvl720nng,0,[nan],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
93,0x41sn_b7h,1,"[""Value For Money: Not at all\nPerformance: Fail to connect\nBest Feature(s): Don't have\nSeems something inside.Always fail to connect.Not a good earphone looks like a toy.\nDisappointed not recommend to buy""]",1,{'738907d7-39a7-403e-a8a6-1b0933baf48f': 1},1.0
94,0xojzqo0au,1,"['Performance: fast connectivity\nValue For Money: yes👍\nBest Feature(s): simple design\nCheap and reliable, thanks.']",1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
95,0yubgjh1c6,0,[nan],1,{'ddaa8694-424f-4876-96e7-e2986a6b99ab': 1},5.0
96,0zhnhkjze3,0,"[nan, nan]",2,"{'12c56041-6472-4142-b0fc-d4a5c0d82309': 1, 'ff9d5533-0a5c-4d93-91c2-c8ebfa50c30f': 1}",5.0
97,1*****0,2,"['Prompt delivery. Box dented. Have not try yet. Hopefully the product work well.', 'Prompt delivery of the item...have not try the product yet.']",1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 2},5.0
98,1*****3,1,"['Authentic Apple earphones, just the same as my old iPhone 6 earphones.']",1,{'55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 1},5.0
99,1*****6,1,['Performance: Good\nBest Feature(s): 1 charge can last me whole day\nValue For Money: Value for money\nHope it will last long'],1,{'0f0709c2-b0ab-467e-8334-969ba228ee4b': 1},5.0
100,1*****_,2,"['came in good condition, audio & mic quality is crystal clear.', 'After use- this product is not original. Don’t buy this . iPhone can’t recognise this headset']",2,"{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1, '55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 1}",3.5
101,1*****c,2,"['The sound is clear, no distortion', ""Received goods in full, correct color, original box. Sensitive bluetooth connection. Good noise cancellation. Overall, it's ok for me in the price range. Headphones worn for a long time are a bit heavy for me, maybe I'm not used to wearing them. There is also a box that comes with the headset, but it seems a bit tight""]",2,"{'2e678f8d-a9a3-4279-9037-8af1c013dbf3': 1, 'ddaa8694-424f-4876-96e7-e2986a6b99ab': 1}",5.0
102,1*****e,6,"['quite impressive. battery lasts quite long although volume may be abit loud at times but overall quite good quality. also has a little muffling of the outside sound. shipped quite safely too and quick.\n\nedit: it kind of broke… when “cracking”? the folding of the earphones like after erm alm a month ig it was not bad but it kinda js broke in its own so now like one part is kind of dangling…crooked😂', 'Just received and yet to try \nItem looks good though and delivery was very fast !!', 'Just received and yet to try \nItem looks good though and delivery was very fast !!', 'Just received and yet to try \nItem looks good though and delivery was very fast !!', 'Delivery is next day and headband is cool. Walk around the house listening to music and the battery life is insane, after 8 hours it’s still going \nHighly recommended !!', ""I was afraid it would come somewhat spoiled, but it's just perfect.""]",6,"{'40e9c35e-edb6-4849-9064-7fb974c79a5d': 1, '728a87e4-dff7-4605-9300-9080f42b1cf1': 1, '738907d7-39a7-403e-a8a6-1b0933baf48f': 1, '762a9ac6-9fbd-4021-a337-448f8a0e1c95': 1, 'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1, 'fe4d19d5-24b8-4148-86bf-f9729f39ee27': 1}",4.833333333333333
103,1*****h,1,"['used over 1 month. sound is good for the price. not as noise cancelling as other brands, but good enough for its price.']",1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},4.0
104,1*****j,1,['authentic cane fast thanks seller will purchase again if need'],1,{'55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 1},5.0
105,1*****l,1,['Performance: all sound surrounding\nBest Feature(s): good stereo\nValue For Money: yes\nbought this on flash sales. Quality is really good! Able to capture bass. Not entirely noise canceling which is ok'],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},4.0
106,1*****n,3,"[nan, 'Performance: Great\nBest Feature(s): Have extention, there are buttons at one side of the head phone\nValue For Money: cheap and good', 'Bough for 24.90 during flash deals! May be a bit big for people with smaller heads but otherwise it’s a really good headphone! Worth the price', 'Fast delivery, item as described. Fits ear well. Basic sound quality, vocal and voice is clear for online meeting, less bass not suitable for music.']",4,"{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1, '377eda3b-17e8-48d7-aac6-df3803e7e928': 1, '43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '6b40a572-7c11-45bb-937c-d3460fc70c36': 1}",5.0
107,1*****r,1,['Value For Money: Yes\nBest Feature(s): Noise reduction\nPerformance: Good\nbought on 5.5 delivery was fast. quality is good. outside noise reduction good.'],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
108,100pluslim,0,[nan],1,{'f9b60d03-8caf-4502-8e9c-dd299758ae3a': 1},5.0
109,1016py,0,[nan],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
110,1030_h,0,[nan],1,{'738907d7-39a7-403e-a8a6-1b0933baf48f': 1},5.0
111,10eline10,1,['Performance: good\nBest Feature(s): bass\nValue For Money: yup\nWell received in good condition today.. all good .. delivery on time.. thanks..'],1,{'72370986-e271-46ab-9368-4ccb6f31a38d': 1},5.0
112,1107my,1,['Arrived perfect loved it'],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
113,1114line,1,['Its ok. My boy did say a little tight on the head. '],1,{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1},5.0
114,1192dj,1,['Good sound'],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},4.0
115,11jdheafle,1,['I loved it!!! Exactly as advertised. Resistant and not to mention that it is beautiful'],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
116,123.ah_hwa,1,['the is not overear headset.'],1,{'629dd687-f02e-4db8-8b54-3250c1f685f2': 1},2.0
117,123.shopi.vn,1,"['Black plastic is also beautiful, leather ear cases are a bit cheap, sound quality is ok, bass is not loud, connection is also fast.']",1,{'90ca6f82-08ca-4d7d-bec3-b34236f1ab25': 1},4.0
118,123456789elda,1,"['Arrived ahead of schedule, is working perfectly, my daughter loved it.']",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
119,12345_78910..,0,[nan],1,{'ada3b277-7679-4b52-8491-f4101329d86e': 1},5.0
120,123lestaripuja,0,"[nan, nan]",1,{'ada3b277-7679-4b52-8491-f4101329d86e': 2},5.0
121,123marialourdes,1,['Received fast no box and it’s difficult to use because of the holder twist short.'],1,{'3939d422-832b-4783-863b-b6d823ff28f4': 1},4.0
122,123nasipadang,1,['Hopefully it is durable'],1,{'ada3b277-7679-4b52-8491-f4101329d86e': 1},3.0
123,123rika,0,[nan],1,{'ada3b277-7679-4b52-8491-f4101329d86e': 1},5.0
124,123syin,0,[nan],1,{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1},5.0
125,123thaynara,0,[nan],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},4.0
126,1273anusca,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
127,12cpmxbtwj,0,[nan],1,{'3922f373-785a-4593-8f46-e8f77ca1c8c4': 1},5.0
128,12jrs,0,[nan],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
129,12s63qha9s,0,[nan],1,{'6c475598-c32f-4bac-9831-383e5eb8e323': 1},5.0
130,13mhell,0,[nan],1,{'3922f373-785a-4593-8f46-e8f77ca1c8c4': 1},5.0
131,13qb88pa6s,0,[nan],1,{'59331d97-d641-4a8b-8d1d-4f7296f1978e': 1},5.0
132,13xmxzw83p,0,[nan],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
133,14q7drd6uv,1,['Perfect sound very good light and discreet'],1,{'b17e829b-3318-49c4-8a94-edc482f7733c': 1},5.0
134,14tgie_omx,3,"['Best Feature(s): wireless headphone\nPerformance: ok\nValue For Money: ok\nDelivered by Shopee Xpress.received the white headphone and the case in good condition.yet to test .', 'Value For Money: good\nBest Feature(s): came with wireless and wire connection\nPerformance: good\nDelivered by Shopee XpR.this is my repeat purchase.earlier bought a black one.the white one looks even better.very easy to use and comfortable on the ears.highly recommended due to dual sound connection via Bluetooth or audio cable.', 'Performance: ok\nValue For Money: ok\nBest Feature(s): wireless plus cable\nDelivered by Shopee XPR.received the item in good condition.']",2,"{'3ac85522-669a-42b8-a279-b31ec4a84c29': 2, '6b40a572-7c11-45bb-937c-d3460fc70c36': 1}",5.0
135,1521karina,1,['Came all right phone is beautiful and the sound is very good'],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
136,1526anne,0,[nan],1,{'ddaa8694-424f-4876-96e7-e2986a6b99ab': 1},5.0
137,15jpg_q__s,0,[nan],1,{'738907d7-39a7-403e-a8a6-1b0933baf48f': 1},5.0
138,15tere,0,[nan],1,{'ada3b277-7679-4b52-8491-f4101329d86e': 1},3.0
139,1602400b,0,[nan],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
140,168sebas,0,[nan],1,{'738907d7-39a7-403e-a8a6-1b0933baf48f': 1},5.0
141,16lym727v3,0,"[nan, nan]",1,{'738907d7-39a7-403e-a8a6-1b0933baf48f': 2},5.0
142,173cm._,0,[nan],1,{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1},5.0
143,17cz4wl_sj,0,[nan],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
144,18maxlee,1,['Got the pink version Bluetooth gaming headphone for my GF and she absolutely loves it!!\nWorth the price😍😍'],1,{'c27b8144-4472-420e-a5fe-0372caab2724': 1},5.0
145,1956mfq38g,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
146,1968rima,0,[nan],1,{'40e9c35e-edb6-4849-9064-7fb974c79a5d': 1},5.0
147,1976_oktober.06,0,[nan],1,{'ada3b277-7679-4b52-8491-f4101329d86e': 1},5.0
148,1988nguyenthimen,0,[nan],1,{'a0576a99-5e5b-4ac9-8dac-aa72e187133e': 1},5.0
149,1989jesus77,0,[nan],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
150,1990wee,0,[nan],1,{'fea283b9-0ae0-4fff-9345-f4d9f9c76b07': 1},5.0
151,1995janaina,1,"[""Only one side of the phone works, I didn't like it.""]",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
152,19a06a,1,['Received in good condition!'],1,{'629dd687-f02e-4db8-8b54-3250c1f685f2': 1},5.0
153,19andre74,1,"['Good quality, however the delivery time with this government rate took twice as long.']",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
154,19bryan90,0,[nan],1,{'738907d7-39a7-403e-a8a6-1b0933baf48f': 1},5.0
155,19c04ap95,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
156,19ivan74,1,['Delivery takes a week. Item workable. Price reasonable. Hopefully can last long. My kid likes it.'],1,{'6aa4bce2-a931-4f64-9d1a-83c69fb60d4b': 1},5.0
157,1amw043yax,0,[nan],1,{'721400c6-5f27-40ef-9340-2636c26ed97c': 1},5.0
158,1ap63qtbkb,1,['Best Feature(s): ok\nPerformance: nice\nValue For Money: yes\nThanks seller very likee havent try hope can use for long timee'],1,{'59331d97-d641-4a8b-8d1d-4f7296f1978e': 1},5.0
159,1aqwa5f5un,0,[nan],1,{'59331d97-d641-4a8b-8d1d-4f7296f1978e': 1},5.0
160,1araikun,1,['Fast delivery.all working great'],1,{'25446ffc-7c07-41d6-a94e-bf0a071ac9c5': 1},5.0
161,1awd2qmjpn,1,"['Very good phone, just the way my son wanted, I highly recommend it.\nIt arrived well ahead of schedule.']",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
162,1ayo3wmzl3,0,[nan],1,{'ada3b277-7679-4b52-8491-f4101329d86e': 1},5.0
163,1b34d12sse,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
164,1b93f8ov_d,1,['Very good quality!!!'],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
165,1bku8nk73j,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
166,1brilsjtfu,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
167,1c3m4n25,0,[nan],1,{'ddaa8694-424f-4876-96e7-e2986a6b99ab': 1},5.0
168,1cents_96,0,[nan],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},4.0
169,1cwxw0tpt_,0,[nan],1,{'40bd8f74-3912-4671-83dc-b0596ec2246f': 1},2.0
170,1cxa9vpr28,0,[nan],1,{'f81dd840-40d1-4e5b-842a-da76d9f79c17': 1},5.0
171,1girly8fashion,0,[nan],1,{'b1f0c81f-1047-4bb3-bea0-8fc0521f60b9': 1},5.0
172,1i_vum5jof,0,[nan],1,{'2e678f8d-a9a3-4279-9037-8af1c013dbf3': 1},1.0
173,1ib3grt5av,0,[nan],1,{'e00d8069-318f-4a12-a0e0-f61b0a7dfdf7': 1},5.0
174,1j357q5z2l,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
175,1jc61hcq89,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
176,1jessicasouza,0,[nan],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
177,1jk7kw,2,"['For price the quality is quite good, sound abit soft\n\nComfortability- not that comfortable perhaps a 6.5/10\n\nSoft quality - 7/10\n\nOverall 8/10 can buy (design v aesthetic)', 'For price the quality is quite good, sound abit soft\n\nComfortability- not that comfortable perhaps a 6.5/10\n\nSoft quality - 7/10\n\nOverall 8/10 can buy (design v aesthetic)']",2,"{'0a306926-3ebc-4c60-b1e5-abd335495cc0': 1, 'dbd07dd2-ec11-4d23-b369-22fb75522393': 1}",5.0
178,1k7m0svfzm,1,['Good'],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
179,1ka8w_qf5v,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
180,1kartinineni,1,"['second order,,,thank you', nan]",1,{'629dd687-f02e-4db8-8b54-3250c1f685f2': 2},5.0
181,1ki08myjh7,0,[nan],1,{'a7623322-0adc-46a9-a45f-ad04de236bff': 1},5.0
